Marca temporal,1. ¿Cuál es el nombre de la organización?,2. ¿Cuál es el nombre del proyecto?,3. Nombre del Asesor Orientador ,4. ¿En que departamento(s) se llevaron a cabo las activides en su proyecto?,"5. Por Favor escriba una lista con la(s) ciudad(es), municipio(s), vereda(s) o corregimiento(s) en las que desarrollaron las actividades en su proyecto (es importante que al lado del nombre, aclare la categoria territorial, ej. vereda Paloverde, municipio de Tabio).","6. ¿En cuantas ciudades, municipios, veredas o corregimientos se desarrollaron las actividades en su proyecto?",7. ¿Señale a cuál de las siguiente redes pertenece su proceso en el marco de este convenio?,8. ¿Cuál fue el número de personas BENEFICIARIAS DIRECTAS hicieron parte de la implementación en su proyecto? Recuerde que beneficiarios directos son todos aquellos que recibieron un pago dentro del proyecto,9. ¿Cuál fue el número de persona BENEFICIARIAS INDIRECTOS  participaron del desarrollo en su proyecto? Recuerde que beneficiarios directos son todos aquellos que participaron de procesos pedagógicos dentro del proyecto,10 ¿Cuál fue el número (estimado) de PERSONAS QUE PARTICIPARON como PÚBLICO/ESPECTADOR de los eventos de circulación/socialización en su proyecto?,Por favor suministrar 2 fotos en alta calidad de su proceso.
16/12/2025 14:18:41,FUNDACIÓN ARTISTICA Y CULTURAL UN MAR DE VOCES,ESCUELA CORAL UN MAR DE VOCES,Mónica Lopez,ATLANTICO,"PUERTO COLOMBIA,  SALGAR",2,Organizaciones Emergentes,14,98,500,"https://drive.google.com/open?id=1RzQd38isbSKGrj4ACw8TIqNGSBMN2Zml, https://drive.google.com/open?id=1QakYhup2zIICN5JU23YK9ajWQVa9Bl0a, https://drive.google.com/open?id=1G0w8B6ZnmPh_LkFZwISfkYLvFodGdedH, https://drive.google.com/open?id=134wOKlptTfMQsy26zmuD1SHrr851wWa9"
16/12/2025 16:01:48,ASOCIACION DE CAVILDOS INDIGENAS DE LA ZONA DE IPIALES,  CONCURSO DEPARTAMENTAL DE BANDAS MUSICALES XLI Y ENCUENTRO DE TRIOS NACIONALES E INTERNACIONALES 2025. ,"marisol toro chamorro, coordinadora de cultura de samaniego ",nariño ,"municipio de samaniego nariño, centro del pueblo parque sol andino ",en un municipio ,Organizaciones Emergentes,12,250,5600,https://drive.google.com/open?id=1ssTIFHjSW0Z6LklQDfyUemoDiMhXwHjE
16/12/2025 18:05:07,Corporación para el desarrollo del Artista CorArte ,Armonías de Buga,Mónica Lopez,Valle del Cauca,Guadalajara de Buga ,Guadalajara de Buga ,Organizaciones Emergentes,20,200,1000,"https://drive.google.com/open?id=1QzEO7sqsP_tu0tC-EeNdvJOtiBDQwJyP, https://drive.google.com/open?id=1zmuv846WywDknznFMbdnw2hcY5YBWYhQ, https://drive.google.com/open?id=1IKQKF8s5VrrAsi-2nyUVmXDzDyWcj45d, https://drive.google.com/open?id=1vKQwkER5N8kzmXg2HB_talzVw1I76rZ-, https://drive.google.com/open?id=1642ii1yvELDKjlATea2yv5oQR4PKVP0D"
15/12/2025 14:26:42,Fundación movimiento Hip Hop Ipiales ,"Festival binacional de Hip Hop ""Hip Hop por la paz, el respeto y la vida""",Jhon Freddy Arevalo,Nariño,Municipio de Ipiales ,Ipiales ,Red Comunitaria de Hip Hop,40,100,500,"https://drive.google.com/open?id=1_CHlkd-Sezkjca7PViXOYsnfDn6H5TU9, https://drive.google.com/open?id=1mIhhjcYX2k5cutGVAqWUyX-tSst0nRGH, https://drive.google.com/open?id=1MIlwGAvJYR4CLPzw1qUikoHFlo2kefCS"
15/12/2025 15:11:22,FUNDACIÓN CULTURAL NEWSPAPER ,"RITMO, CONCIENCIA Y PAZ",Jhon Freddy Arevalo,Bolívar ,Cartagena ,1,Red Comunitaria de Hip Hop,20,57,400,"https://drive.google.com/open?id=1oP5VVfgwCMyoRwjBWDCDe1G2mjkkN0nc, https://drive.google.com/open?id=1SpF_QdgZ9g_ZBRObgWmj_E2fwZ7VJgVW, https://drive.google.com/open?id=1qjCFUCr8rgXJlEn0LR8F4_0BzaQ61B5a"
15/12/2025 23:43:24,Corporación Cultural CK - Casa Kolacho,Hip Hop Vida,Jhon Freddy Arevalo,Antioquia,"Medellín, Comuna 13",1,Red Comunitaria de Hip Hop,15,80,550,"https://drive.google.com/open?id=16eBugG1_U1DUIUc3zDazsT-oV0Bzp8ok, https://drive.google.com/open?id=13jv1sX015a6ZH3Io7yZuLyb_qsrALdq_, https://drive.google.com/open?id=1hsRdaHVyzY3JQ2VuLVCRzeC7hH0AO2Bg"
16/12/2025 0:16:26,Fundación escuela de arte el círculo Hip Hop,Hip Hop transformando territorios ,Jhon Fredy Arevalo ,Bogota ,Kennedy,1,Red Comunitaria de Hip Hop,20,85,450,"https://drive.google.com/open?id=1G6-xbLkrR4Ns7_YQ_aSDhIm4srOuaaLO, https://drive.google.com/open?id=1qU_jpoSbI-fL2yMa_KwnqkZLpc3Ey3RA, https://drive.google.com/open?id=1e4rHDGuAs2B4vnDf6qkGv7FMWT95FBsZ, https://drive.google.com/open?id=1p6Z17EOmXlYB68O_3Os6dGrO9i7Q-cse, https://drive.google.com/open?id=12PjK7W_9UulXJ6vIbiNsGODXk6vsbmQy"
16/12/2025 1:10:23,"Fundación Cultura, Paz y Territorio",FORTALECIMIENTO HIP-HOP DE IBAGUÉ Y FESTIVAL HIP-HOP POR LA VIDA MANIZALES,Jhon Freddy Arevalo,Caldas y Tolima ,"Municipio de Manizales Caldas y, municipio de Ibagué Tolima ",2,Red Comunitaria de Hip Hop,42,231,500,"https://drive.google.com/open?id=1W-vWj2hjLw6VHjRxTrv17-xLXVdtAFTh, https://drive.google.com/open?id=117ipGr96jp2odnLHACM7Hrn1K-cQuuD_"
16/12/2025 7:33:20,Fundación Surprise City ,Nariño es Hip Hop,Jhon Freddy Arevalo,Nariño,"Pasto (Corregimiento de Jamondino, y Comuna 10), Ipiales, Tumaco.",3,Red Comunitaria de Hip Hop,50,160,1000,"https://drive.google.com/open?id=1lKVpUl_Z00kbT0YujevluNOKW2s9GKEp, https://drive.google.com/open?id=18XbWDI6LGdib71F9p1tLOpDu0OGctJHn"
16/12/2025 10:08:40,Corporación Escuela Popular de Artes Urbanas Casabeat,"Calibeat Hip Hop Festival IV, Arte y Cultura de Paz",Jhon Freddy Arevalo,Valle del Cauca,Cali,1,Red Comunitaria de Hip Hop,19,228,735,"https://drive.google.com/open?id=1lmZxU_yM8tVTCJy9NaeodvHQjhy9WXYK, https://drive.google.com/open?id=1KunofJCVzfNm4JMlt5xW0Ye_8uVDkKyf"
16/12/2025 11:09:16,Fundación Cultural y social 5ta con 5ta crew,Del Norte Bravos Hijos ,Jhon Freddy Arevalo,Norte de Santander ,Cúcuta ,Cúcuta ,Red Comunitaria de Hip Hop,10,100,250,"https://drive.google.com/open?id=1TGJfhsZawzYwOEaIIobeKUMKSQ1dJqMw, https://drive.google.com/open?id=1eSGiQWLG5n1CsoBeMPqBv1f7xXUJm-KG"
16/12/2025 11:15:04,RapJudesco ,Fortalecimiento procesos RapJudesco,Jhon Freddy Arevalo,Bogotá,Localidad Rafael Uribe Uribe Bogotá,una,Red Comunitaria de Hip Hop,12,45,900,"https://drive.google.com/open?id=1mX-Q73ODWi89QUKKi_l-C9rZq5JCuKUL, https://drive.google.com/open?id=1a4TlUga8PJ-KaJ2KzNlVNwlK_aK4t1oD"
16/12/2025 11:15:45,JUNTA DE ACCIÓN COMUNAL AGUA BONITA 2,El graffiti como expresión politica en la construcción de paz en la ruralidad del Meta,Jhon Freddy Arevalo,"Meta, Caquetá y Putumayo ","San Juan de arama, Montañita y Carmelita ",2,Red Comunitaria de Hip Hop,8,150,250,"https://drive.google.com/open?id=1E8F5dae7ygM1cNaxCTnX0kHBZ5S0TMpp, https://drive.google.com/open?id=1A9BZxpIeXnDk70zsjN4NRD9y_vBXhNlb, https://drive.google.com/open?id=1WA40A33Gjc4hf7L3F-klDobxAxkVeQFt, https://drive.google.com/open?id=1B0_Niy4LVJXq5_GkGl_FsDbb5KjB3wji, https://drive.google.com/open?id=18gID3Xpf6gi5l1BbH653q2DFg-x_qmH-"
16/12/2025 11:24:27,Asociación Hip Hop por Nuestra Tierra,La Gente Atenta,Jhon Freddy Arevalo,Boyacá,"Nobsa, Villa de Leyva, Sogamoso, Tunja",4,Red Comunitaria de Hip Hop,28,140,250,"https://drive.google.com/open?id=1bEOsMvHMJa7Dwd84q-crXHFAZc1Vc6FF, https://drive.google.com/open?id=1OfD0oXPcwopG-Q-ua1JzmhEcdrmOc7bR"
